,0
329,"It is highly teratogenic , so women in childbearing years who use it should use some kind of birth control one month before starting the treatment and up to one month after it is completed ."
330,Before beginning the medication hepatic function should be evaluated and cholesterol and serum triglycerides must be checked one month after the onset of treatment .
331,"Side effects , high cost and its high teratogenicity limit their use in a great number of patients ."
332,It has a good contraceptive effect ; accordingly it can be used in women who will also receive isotretinoin .
333,Most topical agents and systemic isotretinoin produce dryness of the skin that may be exacerbated by the detergent effect of the soaps .
334,"Actinic prurigo can begin in infancy , but the highest incidence is 6-8 years of age , with a slightly more female cases ."
335,It can affect any area exposed to the sun .
336,Chronic scratching of the face can produce pseudoalopecia of the eyebrows .
337,"They are compact , wide , irregular and form nodules and whorls ."
338,In 1885 a medical student named Daniel A. Carrion decided to prove a common origin for OF and VP .
339,"Malaise , anorexia , arthralgia and high fever followed by rapidly progressive and severe anemia can occur 350 Tropical Dermatology 70 Fig ."
340,"The varied morphology of the clinical lesions makes it easy to confuse them with pyogenic granulomas , histiocytomas , warts , ecthyma and folliculitis or neoplastic processes such as Kaposi ’ s sarcoma ."
341,"The name chosen for this comprehensive medical handbook series is Vademecum , a Latin word that roughly means “ to carry along ” ."
342,We hope you will find them a valuable resource .
